Simple cross-match for lofar and exoplanets_magper

Simple cross-match with a radius of 5 
3c280 -> Kepler-569 b -> 34.18890521
3c280 -> Kepler-920 c -> 100.8274113
3c280 -> Kepler-1043 b -> 38.5053398
3c280 -> Kepler-380 b -> 3.930821
3c280 -> Kepler-1459 b -> 62.8691611
3c280 -> KIC 11442793 g -> 210.60697
3c280 -> Kepler-165 c -> 15.31299
3c280 -> KIC 11442793 f -> 124.9144
3c280 -> KIC 11442793 b -> 7.008151
3c280 -> Kepler-530 b -> 39.30941904
3c280 -> Kepler-658 b -> 1.28707676
3c280 -> Kepler-960 b -> 3.12686223
3c280 -> Kepler-841 b -> 124.4198398
3c280 -> Kepler-1639 b -> 9.878482
3c280 -> Kepler-311 b -> 9.176092
3c280 -> Kepler-613 b -> 15.77979614
3c280 -> Kepler-1388 e -> 37.6327084
3c280 -> Kepler-742 b -> 8.36086824
3c280 -> Kepler-1050 c -> 21.1284569
3c280 -> Kepler-1298 b -> 7.12811928
3c280 -> Kepler-868 b -> 5.03251791
3c280 -> WASP-58 b -> 5.01718
3c280 -> Kepler-299 c -> 6.885875
3c280 -> Kepler-1050 b -> 15.3787546
3c280 -> Kepler-311 c -> 19.738286
3c280 -> Kepler-1509 b -> 25.4338197
3c280 -> Kepler-298 c -> 22.92881
3c280 -> Kepler-1388 d -> 20.9568158
3c280 -> Kepler-1253 b -> 68.8861915
3c280 -> KIC 11442793 e -> 91.93913
3c280 -> Kepler-588 b -> 4.22162536
3c280 -> Kepler-1454 b -> 47.0319479
3c280 -> Kepler-153 b -> 18.870227
3c280 -> Kepler-153 c -> 46.90232
3c280 -> Kepler-102 d -> 10.3117
3c280 -> KIC 11442793 d -> 56.73667
3c280 -> Kepler-1339 b -> 1.34155513
3c280 -> KIC 11442793 c -> 8.719375
3c280 -> Kepler-989 b -> 7.96431535
3c280 -> Kepler-565 b -> 4.24374723
3c280 -> Kepler-380 c -> 7.630004
3c280 -> Kepler-102 f -> 27.4536
3c280 -> Kepler-765 b -> 27.6655226
3c280 -> Kepler-1140 b -> 24.0862707
3c280 -> Kepler-134 b -> 5.317429
3c280 -> Kepler-589 b -> 16.54964934
3c280 -> Kepler-364 c -> 59.980627
3c280 -> Kepler-299 e -> 38.285489
3c280 -> Kepler-102 e -> 16.1457
3c280 -> Kepler-549 c -> 117.040498
3c280 -> Kepler-1244 b -> 3.70428172
3c280 -> Kepler-1572 b -> 5.49548621
3c280 -> Kepler-301 d -> 13.751243
3c280 -> Kepler-101 b -> 3.487691
3c280 -> Kepler-301 b -> 2.508553
3c280 -> Kepler-297 c -> 74.920137
3c280 -> Kepler-488 b -> 3.12082923
3c280 -> Kepler-101 c -> 6.029809
3c280 -> Kepler-653 c -> 0.90037648
3c280 -> Kepler-1102 b -> 51.3285623
3c280 -> Kepler-617 b -> 1.68269615
3c280 -> Kepler-1637 b -> 6.10960324
3c280 -> Kepler-1388 c -> 5.53608151
3c280 -> Kepler-814 b -> 6.1469851
3c280 -> Kepler-1408 b -> 2.99793191
3c280 -> Kepler-1443 b -> 2.41811321
3c280 -> Kepler-1385 b -> 2.88879862
3c280 -> Kepler-920 b -> 6.53192704
3c280 -> Kepler-301 c -> 5.419026
3c280 -> Kepler-134 c -> 10.105785
3c280 -> Kepler-441 b -> 207.2482
3c280 -> Kepler-1329 b -> 9.33646594
3c280 -> Kepler-297 b -> 38.871826
3c280 -> Kepler-102 b -> 5.28696
